ID,Abbr,Agency
2,AAAE,American Association of Airport Executives
6,AAEI,American Association for Exporters and Importers
8,AAFB,Andrews Air Force Base
10,AAMVA,American Association of Motor Vehicle Administration
11,AAPA,American Association of Port Authorities
12,AARP,American Association of Retired Persons
13,AASHTO,American Association of State Highway and Transportation Officials
14,AAU,Association of American Universities
15,ABAG,Association of Bay Area Governments
19,ABMC,American Battle Monuments Commission
20,ABNCP,Airborne Command Post
23,ACAA,Air Carrier Association for Americans
28,ACDA,Arms Control and Disarmament Agency
30,ACGIH,American Council of Government Industrial Hygienists
32,ACHP,Advisory Council on Historic Preservation
33,ACI/NA,Airports Council International--North America
34,ACIP,Advisory Committee on Immunization Practices
35,ACIR,Advisory Commission on Intergovernmental Relations
36,ACPSEM,Advisory Council on Professional Standards for Emergency Managers
37,ACSM,American Congress of Surveying and Mapping
38,ACTD,Advanced Concepts Technology Demonstration
41,ACWG,Air Cargo Working Group
48,ADEM,Arkansas Department of Emergency Management
49,ADES,Alaska Division of Emergency Services
50,ADGGS,Alaska Division of Geological and Geophysical Surveys
56,ADO,Airport District Office
65,AEA,American Economic Association
66,AECB,Atomic Energy and Control Board
71,AEI,American Enterprise Institute
72,AEIC,Alaska Earthquake Information Center
74,AEMA,Alabama Emergency Management Agency
82,AFCEA,Armed Forces Communications and Electronics Association
85,AFGE,American Federation of Government Employees
87,AFGWC,Air Force Global Weather Central
88,AFMLS,Asset Forfeiture & Money Laundering Section
91,AFOSC,Air Force Operations Support Center
95,AFRCC,Air Force Rescue Coordination Center
96,AFRES,Air Force Reserve
97,AFRRI,Armed Force Radiobiology Research Institute
100,AFTAC,Air Force Technical Applications Center
102,AGCA,Associated General Contractors of America
109,AHCC,Alternate Host Communications Center
110,AHG,Ad Hoc Group
114,AID,Agency for International Development
116,AIG,Address Indicating Group
127,ALCOM,Alaskan Command
128,ALERT,Automated Local Evaluation in Real Time
130,ALPA,Airline Pilots Association
134,AMA,American Medical Association
135,AMB,Air & Marine Branch
137,AMCCOM,Armament Munitions and Chemical Command
141,AMID,Air and Marine Interdiction Division
145,AMOC,Air and Marine Operations Center
148,AMSC,American Satellite Communications
151,AMTI,"Applied Marine Technology, Inc."
153,AMWA,Association of Metropolitan Water Agencies
155,ANAD,Anniston Army Depot
156,ANCA,Anniston Chemical Activity
157,ANCDF,Anniston Chemical Disposal Facility
159,ANG,Air National Guard
160,ANGB,Air National Guard Base
161,ANL,Argonne National Laboratory
162,ANOC,Association of National Olympic Committees
164,ANPSC,Alternate National Processing Service Center 
165,ANRC,American National Red Cross
166,ANSER,"Analytic Services, Inc."
167,ANSI,American National Standards Institute
169,AoA,Administration on Aging
176,APCO,"Association of Public-Safety Communications Officials, International"
178,APEC,Asia Pacific Economic Cooperation
180,APHA,American Public Health Association
181,APHIS,Animal and Plant Health Inspection Service 
182,APHL,Association of Public Health Laboratories
185,APOD,Aerial Port of Debarkation
186,APOE,Aerial Port of Embarkation
189,APRSAC,Academe and Policy Research Advisory Committee
195,APTA,American Public Transportation Associations
196,APWA,American Public Works Association
201,ARC,American Red Cross
206,ARG,Accident Response Group
211,ARNG,Army National Guard
